frei	freier	freisten
abnormal	abnormaler	abnormalsten
abstinent	abstinenter	abstinentesten
urban	urbaner	urbansten
absurd	absurder	absurdesten
ambivalent	ambivalenter	ambivalentesten
bourgeois	bourgeoiser	bourgeoisesten
bitter	bitterer	bittersten
hart	härter	härtesten
langsam	langsamer	langsamsten
rot	röter	rötesten
mobil	mobiler	mobilsten
schnell	schneller	schnellsten
banal	banaler	banalsten
brav	braver	bravsten
zierlich	zierlicher	zierlichsten
nackt	nackter	nacktesten
leger	legerer	legersten
orthodox	orthodoxer	orthodoxesten
apart	aparter	apartesten
surreal	surrealer	surrealsten
fix	fixer	fixesten
schwarz	schwärzer	schwärzesten
fade	fader	fadesten
modern	moderner	modernsten
abstrakt	abstrakter	abstraktesten
loyal	loyaler	loyalsten
schmuck	schmucker	schmucksten
wild	wilder	wildesten
elegant	eleganter	elegantesten
blind	blinder	blindesten
impertinent	impertinenter	impertinentesten
dominant	dominanter	dominantesten
fest	fester	festesten
stark	stärker	stärksten
extravagant	extravaganter	extravagantesten
feudal	feudaler	feudalsten
formal	formaler	formalsten
international	internationaler	internationalsten
relevant	relevanter	relevantesten
paranoid	paranoider	paranoidsten
offiziell	offizieller	offiziellsten
neutral	neutraler	neutralsten
willkürlich	willkürlicher	willkürlichsten
erwachsen	erwachsener	erwachsensten
alt	älter	ältesten
vehement	vehementer	vehementesten
gemütlich	gemütlicher	gemütlichsten
aktiv	aktiver	aktivsten
viele	mehr	am
wenige	weniger	wenigsten
lang	länger	längsten
schwer	schwerer	schwersten
reich	reicher	reichsten
ungewöhnlich	ungewöhnlicher	ungewöhnlichsten
emotional	emotionaler	emotionalsten
unstrukturiert	unstrukturierter	unstrukturiertesten
unstrukturiert	unstrukturierter	unstrukturiertesten
strukturiert	strukturierter	strukturiertesten
strukturiert	strukturierter	strukturiertesten
unabhängig	unabhängiger	unabhängigsten
vielfältig	vielfältiger	vielfältigsten
sichtbar	sichtbarer	sichtbarsten
nobel	nobeler	nobelsten
patent	patenter	patentesten
tolerant	toleranter	tolerantesten
konvex	konvexer	konvexesten
unfair	unfairer	unfairsten
nonchalant	nonchalanter	nonchalantesten
traurig	trauriger	traurigsten
locker	lockerer	lockersten
durstig	durstiger	durstigsten
regelmäßig	regelmäßiger	regelmäßigsten
sentimental	sentimentaler	sentimentalsten
eloquent	eloquenter	eloquentesten
turbulent	turbulenter	turbulentesten
öffentlich	öffentlicher	öffentlichsten
ignorant	ignoranter	ignorantesten
verwanzt	verwanzter	verwanztesten
verwanzt	verwanzter	verwanztesten
frivol	frivoler	frivolsten
viel	mehr	meisten
lässig	lässiger	lässigsten
fett	fetter	fettesten
naturbelassen	naturbelassener	naturbelassensten
naturbelassen	naturbelassener	naturbelassensten
schroff	schroffer	schroffsten
plump	plumper	plumpesten
korrupt	korrupter	korruptesten
scharf	schärfer	schärfsten
modular	modularer	modularsten
niedlich	niedlicher	niedlichsten
überdurchschnittlich	überdurchschnittlicher	überdurchschnittlichsten
figürlich	figürlicher	figürlichsten
symbolisch	symbolischer	symbolischsten
bilderreich	bilderreicher	bilderreichsten
bilderreich	bilderreicher	bilderreichsten
künstlich	künstlicher	künstlichsten
sozial	sozialer	sozialsten
intolerant	intoleranter	intolerantesten
rege	reger	regesten
männlich	männlicher	männlichsten
süchtig	süchtiger	süchtigsten
schwächlich	schwächlicher	schwächlichsten
schwächlich	schwächlicher	schwächlichsten
demokratisch	demokratischer	demokratischsten
christlich	christlicher	christlichsten
finster	finsterer	finstersten
platt	platter	plattesten
pünktlich	pünktlicher	pünktlichsten
stachelig	stacheliger	stacheligsten
präzise	präziser	präzisesten
schal	schaler	schalsten
nördlich	nördlicher	nördlichsten
südlich	südlicher	südlichsten
fulminant	fulminanter	fulminantesten
verrückt	verrückter	verrücktesten
homogen	homogener	homogensten
einfach	einfacher	einfachsten
pelzig	pelziger	pelzigsten
erstaunlich	erstaunlicher	erstaunlichsten
gelb	gelber	gelbsten
unbekannt	unbekannter	unbekanntesten
bekannt	bekannter	bekanntesten
gerecht	gerechter	gerechtesten
schuldig	schuldiger	schuldigsten
glücklich	glücklicher	glücklichsten
jung	jünger	jüngsten
spät	später	spätesten
rar	rarer	rarsten
sauer	saurer	sauersten
feucht	feuchter	feuchtesten
Template:de-adj	größer	größten
selig	seliger	seligsten
sanft	sanfter	sanftesten
streng	strenger	strengsten
charmant	charmanter	charmantesten
